numVotes,Frequency,AverageRating
739,57,384.99999999999994
740,75,538.3000000000002
741,63,435.20000000000005
742,65,450.59999999999997
743,52,369.6
744,67,496.1000000000001
745,54,361.8
746,66,446.0
747,56,361.09999999999997
748,58,416.5
749,58,410.59999999999997
750,72,491.99999999999994
751,53,351.00000000000006
752,66,450.29999999999995
753,54,352.7
754,62,443.8
755,65,462.59999999999997
756,50,344.49999999999983
757,67,473.5999999999999
758,59,410.2
759,72,507.40000000000003
760,72,505.6
761,62,401.5000000000001
762,61,425.3999999999999
763,68,469.40000000000003
764,52,341.7
765,51,337.50000000000006
766,53,377.90000000000003
767,66,474.80000000000007
768,64,427.6000000000002
769,74,522.9000000000001
770,64,440.7
771,56,384.2000000000001
772,70,481.49999999999994
773,62,412.6
774,55,368.00000000000006
775,64,430.3000000000001
776,67,464.40000000000003
777,48,344.00000000000006
778,61,432.4000000000001
779,50,350.40000000000003
780,63,403.8
781,71,494.89999999999986
782,73,502.29999999999984
783,62,437.8999999999999
784,51,345.8999999999999
785,48,329.59999999999997
786,74,503.20000000000005
787,52,363.49999999999994
788,66,448.59999999999997
789,44,303.6000000000001
790,75,533.2
791,54,393.6000000000001
792,62,438.49999999999994
793,50,350.00000000000006
794,53,379.20000000000005
795,66,469.0000000000002
796,63,442.1999999999998
797,47,310.0000000000001
798,59,401.6
799,55,370.0
800,51,371.9
801,69,467.8000000000001
802,57,387.5000000000001
803,63,423.60000000000014
804,59,399.8999999999999
805,60,425.8
806,50,331.3999999999999
807,68,441.40000000000003
808,67,461.30000000000007
809,56,391.2000000000002
810,57,399.7000000000001
811,44,314.9
812,57,401.80000000000007
813,57,408.29999999999995
814,65,454.2
815,50,345.29999999999995
816,52,364.3
817,69,489.60000000000025
818,61,429.3
819,54,376.1
820,62,421.1
821,65,448.80000000000007
822,50,359.3
823,66,451.40000000000003
824,48,337.79999999999995
825,64,452.0999999999998
826,49,340.1
827,51,350.9
828,56,362.5
829,60,402.0
830,64,440.6000000000001
831,59,385.8000000000002
832,54,380.9
833,63,432.00000000000006
834,65,454.2
835,50,328.1
836,35,245.69999999999996
837,55,369.70000000000005
838,64,443.6000000000002
839,60,422.5
840,52,361.39999999999986
841,55,380.1
842,53,361.0
843,44,285.0
844,37,254.70000000000002
845,61,403.1
846,51,370.99999999999994
847,65,469.49999999999994
848,48,345.90000000000003
849,49,323.20000000000016
850,56,367.2000000000001
851,50,323.7
852,55,376.19999999999993
853,57,393.59999999999997
854,43,301.19999999999993
855,49,350.5
856,50,350.79999999999995
857,51,361.8
858,48,349.7000000000001
859,49,328.3999999999999
860,42,293.3
861,48,323.30000000000007
862,54,382.9999999999999
863,57,395.40000000000003
864,51,344.00000000000006
865,48,328.59999999999997
866,45,328.7000000000001
867,50,355.2
868,57,393.19999999999993
869,58,403.7
870,52,343.09999999999997
871,37,256.19999999999993
872,42,298.0
873,48,308.09999999999997
874,36,251.0
875,50,339.0999999999999
876,46,321.40000000000003
877,50,332.29999999999995
878,46,318.5
879,60,416.29999999999995
880,43,289.49999999999994
881,47,339.70000000000005
882,53,358.8
883,48,335.8999999999999
884,36,247.7
885,55,385.0
886,57,407.00000000000006
887,43,295.40000000000003
888,54,365.3
889,54,368.00000000000006
890,59,412.1
891,55,398.39999999999986
892,56,353.90000000000003
893,57,390.40000000000003
894,47,327.5
895,45,317.50000000000006
896,43,296.9
897,35,233.20000000000005
898,41,276.1000000000001
899,47,315.90000000000015
900,42,261.40000000000003
901,48,328.40000000000003
902,32,210.8
903,39,275.4000000000001
904,54,367.3
905,52,353.1
906,50,351.50000000000006
907,39,272.5
908,50,344.90000000000003
909,43,294.8
910,50,356.6000000000001
911,49,328.40000000000015
912,42,291.99999999999994
913,40,277.0
914,47,335.0
915,41,271.4
916,39,274.8
917,41,290.09999999999997
918,49,334.79999999999995
919,37,268.49999999999994
920,51,338.79999999999995
921,28,191.4
922,33,221.4
923,37,243.5
924,53,358.99999999999994
925,43,282.49999999999994
926,41,283.2
927,45,305.20000000000005
928,45,313.59999999999997
929,57,377.90000000000015
930,37,250.70000000000002
931,39,263.90000000000003
932,51,347.2
933,34,232.59999999999997
934,43,289.20000000000005
935,44,291.8
936,33,218.7
937,41,283.40000000000003
938,40,277.6
939,32,232.10000000000002
940,35,242.3
941,43,305.3
942,36,254.39999999999998
943,28,203.2
944,41,272.5
945,50,330.2000000000001
946,54,370.9
947,44,313.9
948,35,239.49999999999997
949,37,261.3
950,34,222.4
951,51,353.09999999999997
952,49,343.80000000000007
953,38,270.70000000000005
954,40,270.00000000000006
955,46,323.6000000000001
956,37,263.4
957,35,229.8
958,33,214.89999999999998
959,46,318.80000000000007
960,51,330.99999999999994
961,37,267.3
962,39,265.2
963,50,345.9000000000001
964,51,363.39999999999986
965,33,222.9
966,42,307.3
967,41,293.3
968,46,322.9
969,29,198.7
970,37,258.6
971,37,251.69999999999996
972,35,218.5
973,35,248.2
974,43,287.0
975,36,239.19999999999993
976,46,321.70000000000005
977,44,319.0
978,42,279.60000000000014
979,47,318.1
980,46,312.3
981,35,239.89999999999998
982,37,254.00000000000003
983,53,380.40000000000003
984,33,236.80000000000004
985,51,357.2
986,43,300.59999999999997
987,40,284.6
988,32,219.69999999999996
989,38,265.3
990,47,308.3
991,41,283.9
992,50,351.20000000000005
993,23,171.49999999999997
994,30,210.6
995,37,252.39999999999998
996,43,295.79999999999995
997,38,273.5
998,43,294.2
999,52,356.09999999999997
1000,42,303.49999999999994
1001,34,225.1
1002,37,260.6
1003,42,282.69999999999993
1004,47,333.3
1005,31,220.4
1006,42,284.3
1007,38,274.40000000000003
1008,36,259.5
1009,41,274.70000000000005
1010,47,310.30000000000007
1011,39,266.2
1012,37,243.49999999999997
1013,40,272.7
1014,42,298.8999999999999
1015,47,330.4
1016,39,265.40000000000003
1017,37,252.5
1018,40,269.2
1019,34,214.70000000000002
1020,33,229.20000000000002
1021,44,310.6999999999999
1022,38,266.09999999999997
1023,33,221.89999999999998
1024,22,152.89999999999998
1025,37,276.79999999999995
1026,41,278.20000000000005
1027,35,244.3
1028,33,233.60000000000005
1029,33,236.4
1030,43,301.4
1031,29,206.9
1032,35,251.7
1033,38,277.0
1034,34,254.39999999999995
1035,21,132.59999999999997
1036,42,294.7
1037,39,282.2
1038,40,262.79999999999995
1039,34,233.1
1040,44,292.5999999999999
1041,36,255.99999999999994
1042,40,256.1
1043,35,236.2
1044,35,245.10000000000002
1045,34,249.60000000000005
1046,41,282.0
1047,48,312.80000000000007
1048,34,220.10000000000005
1049,36,253.30000000000004
1050,26,190.4
1051,28,187.19999999999996
1052,55,391.50000000000006
1053,45,310.1
1054,36,259.0999999999999
1055,42,271.59999999999997
1056,36,246.79999999999998
1057,36,258.1
1058,28,200.29999999999998
1059,34,221.29999999999998
1060,32,224.2
1061,37,266.8999999999999
1062,37,258.00000000000006
1063,41,266.0
1064,39,280.59999999999997
1065,35,239.69999999999996
1066,33,245.99999999999997
1067,30,216.00000000000003
1068,28,188.10000000000002
1069,33,232.7
1070,39,267.59999999999997
1071,30,207.3
1072,32,225.30000000000004
1073,38,265.09999999999997
1074,36,250.0
1075,29,196.39999999999998
1076,24,154.6
1077,32,225.89999999999998
1078,33,224.8
1079,24,161.60000000000002
1080,40,281.8999999999999
1081,34,239.8
1082,35,236.89999999999998
1083,31,204.79999999999993
1084,47,331.79999999999995
1085,32,218.60000000000002
1086,42,277.70000000000005
1087,29,192.99999999999991
1088,29,195.60000000000002
1089,32,214.69999999999996
1090,38,251.5
1091,34,222.89999999999995
1092,31,214.10000000000002
1093,33,239.9
1094,37,249.89999999999998
1095,39,256.59999999999997
1096,36,249.10000000000002
1097,40,269.5
1098,31,207.7
1099,45,305.80000000000007
1100,36,233.39999999999998
1101,31,216.5
1102,36,260.20000000000005
1103,37,249.89999999999995
1104,29,200.69999999999996
1105,22,156.10000000000002
1106,26,176.79999999999995
1107,39,271.5
1108,39,259.4
1109,24,162.20000000000002
1110,42,291.8
1111,38,266.90000000000003
1112,26,178.60000000000002
1113,26,177.79999999999998
1114,33,232.89999999999995
